종목명,종목코드
비씨월드제약,200780
비아트론,141000
비에이치,090460
비에이치아이,083650
비엔디생활건강,215050
비엠티,086670
비즈니스온,138580
비츠로셀,082920
비츠로시스,054220
비츠로테크,042370
비트컴퓨터,032850
비플라이소프트,148780
빅솔론,093190
빅텍,065450
빅텐츠,210120
빙그레,005180
빛샘전자,072950
뿌리깊은나무들,266170
사람인에이치알,143240
사조대림,003960
사조동아원,008040
사조산업,007160
사조씨푸드,014710
사조오양,006090
사조해표,079660
삼강엠앤티,100090
삼광글라스,005090
삼기오토모티브,122350
삼륭물산,014970
삼목에스폼,018310
삼보모터스,053700
삼보산업,009620
삼보판지,023600
삼본정밀전자,111870
삼부토건,001470
삼성SDI,006400
삼성SDI우,006405
삼성공조,006660
삼성물산,028260
삼성물산우B,02826K
삼성바이오로직스,207940
삼성생명,032830
삼성스팩2호,291230
삼성에스디에스,018260
삼성엔지니어링,028050
삼성전기,009150
삼성전기우,009155
삼성전자,005930
삼성전자우,005935
삼성제약,001360
삼성중공업,010140
삼성중공우,010145
삼성증권,016360
삼성출판사,068290
삼성카드,029780
삼성화재,000810
삼성화재우,000815
삼아알미늄,006110
삼아제약,009300
삼양사,145990
삼양사우,145995
삼양식품,003230
삼양옵틱스,225190
삼양통상,002170
삼양패키징,272550
삼양홀딩스,000070
삼양홀딩스우,000075
삼영무역,002810
삼영엠텍,054540
삼영이엔씨,065570
삼영전자,005680
삼영화학,003720
삼우엠스,082660
삼원강재,023000
삼원테크,073640
삼익THK,004380
삼익악기,002450
삼일,032280
삼일기업공사,002290
삼일제약,000520
삼정펄프,009770
삼지전자,037460
삼진,032750
삼진엘앤디,054090
삼진제약,005500
삼천당제약,000250
삼천리,004690
삼천리자전거,024950
삼표시멘트,038500
삼현철강,017480
삼호,001880
삼호개발,010960
삼화네트웍스,046390
삼화왕관,004450
삼화전기,009470
삼화전자,011230
삼화콘덴서,001820
삼화페인트,000390
상보,027580
상상인,038540
상신브레이크,041650
상신이디피,091580
상신전자,263810
상아프론테크,089980
상지카일룸,042940
새로닉스,042600
새론오토모티브,075180
샘코,263540
샘표,007540
샘표식품,248170
서린바이오,038070
서부T&D,006730
서산,079650
서암기계공업,100660
서연,007860
서연이화,200880
서연전자,012860
서연탑메탈,019770
서울가스,017390
서울리거,043710
서울반도체,046890
서울식품,004410
서울식품우,004415
서울옥션,063170
서울전자통신,027040
서울제약,018680
서원,021050
서원인텍,093920
서전기전,189860
서진시스템,178320
서진오토모티브,122690
서플러스글로벌,140070
서한,011370
서호전기,065710
서흥,008490
서희건설,035890
선광,003100
선데이토즈,123420
선도전기,007610
선바이오,067370
선익시스템,171090
선진,136490
선창산업,002820
성광벤드,014620
성도이엔지,037350
성문전자,014910
성문전자우,014915
성보화학,003080
성신양회,004980
성신양회2우B,004987
성신양회3우B,004989
성신양회우,004985
성안,011300
성우전자,081580
성우테크론,045300
성우하이텍,015750
성창기업지주,000180
성창오토텍,080470
성호전자,043260
세기상사,002420
세동,053060
세명전기,017510
세미콘라이트,214310
일신방직,003200
일신석재,007110
일야,058450
일양약품,007570
일양약품우,007575
일정실업,008500
일지테크,019540
일진다이아,081000
일진디스플,020760
일진머티리얼즈,020150
일진전기,103590
일진파워,094820
일진홀딩스,015860
잇츠한불,226320
잉글우드랩,950140
잉크테크,049550
자비스,230400
자연과환경,043910
자이글,234920
자화전자,033240
장원테크,174880
재영솔루텍,049630
전방,000950
전우정밀,120780
전파기지국,065530
정다운,208140
정산애강,022220
정상제이엘에스,040420
정원엔시스,045510
제낙스,065620
제너셈,217190
제넥신,095700
제노레이,122310
제노텍,066830
제노포커스,187420
제놀루션,225220
제닉,123330
제로투세븐,159580
제룡산업,147830
제룡전기,033100
제미니투자,019570
제우스,079370
제이브이엠,054950
제이스테판,096690
제이스텍,090470
제이씨케미칼,137950
제이씨현시스템,033320
제이에스코퍼레이션,194370
제이에스티나,026040
제이에스피브이,250300
제이엔케이히터,126880
제이엠아이,033050
제이엠티,094970
제이웨이,058420
제이준코스메틱,025620
제이콘텐트리,036420
제이티,089790
제일기획,030000
제일바이오,052670
제일약품,271980
제일연마,001560
제일제강,023440
제일테크노스,038010
제일파마홀딩스,002620
제주반도체,080220
제주은행,006220
제주항공,089590
젠큐릭스,229000
젬백스,082270
조광ILI,044060
조광페인트,004910
조광피혁,004700
조비,001550
조선내화,000480
조선선재,120030
조아제약,034940
조이맥스,101730
조이시티,067000
조일알미늄,018470
조흥,002600
종근당,185750
종근당바이오,063160
종근당홀딩스,001630
좋은사람들,033340
주노콜렉션,221670
주성엔지니어링,036930
주연테크,044380
줌인터넷,229480
중앙리빙테크,051980
중앙백신,072020
중앙에너비스,000440
중앙오션,054180
지노믹트리,228760
지니뮤직,043610
지니언스,263860
지란지교시큐리티,208350
지스마트글로벌,114570
지앤이바이오텍,299480
지어소프트,051160
지에스이,053050
지엔씨에너지,119850
지엔코,065060
지엘팜텍,204840
지엠비코리아,013870
지엠피,018290
지역난방공사,071320
지오씨,135160
지와이커머스,111820
지코,010580
지투알,035000
지트리비앤티,115450
지티지웰니스,219750
진도,088790
진로발효,018120
진매트릭스,109820
진바이오텍,086060
진성티이씨,036890
진양산업,003780
진양제약,007370
진양폴리,010640
진양홀딩스,100250
진양화학,051630
진에어,272450
진원생명과학,011000
진흥기업,002780
진흥기업2우B,002787
진흥기업우B,002785
차바이오텍,085660
차이나그레이트,900040
차이나하오란,900090
참엔지니어링,009310
참좋은여행,094850
창해에탄올,004650
천일고속,000650
청광종건,140290
청담러닝,096240
청보산업,013720
청호컴넷,012600
체리부로,066360
체시스,033250
초록뱀,047820
칩스앤미디어,094360
카스,016920
카이노스메드,220250
카카오,035720
카페24,042000
카프로,006380
캐스텍코리아,071850
캔서롭,180400
캠시스,050110
컨버즈,109070
컬러레이,900310
컴투스,078340
케미메디,205290
케어랩스,263700
케어젠,214370
케이디 네이쳐 엔 바이오,072520
케이디켐,221980
케이맥,043290
케이비제10호스팩,250930
케이비제11호스팩,258790
케이사인,192250
케이씨,029460
케이씨에스,115500
케이씨텍,281820
케이씨티,089150
케이씨피드,025880
케이아이엔엑스,093320
케이에스피,073010
케이엔더블유,105330
케이엘넷,039420
케이엠,083550
케이엠더블유,032500
케이엠제약,225430
케이탑리츠,145270
케이티스,058860
케이프,064820
케이피에스,256940
케이피에프,024880
케이피엠테크,042040
케이피티유,054410
켐온,217600
켐트로닉스,089010
켐트로스,220260
코나아이,052400
코닉글로리,094860
코다코,046070
코데즈컴바인,047770
코디,080530
코디엠,224060
코렌,078650
코렌텍,104540
코리아나,027050
코리아써우,007815
코리아써키트,007810
코리아써키트2우B,00781K
코리아에스이,101670
코리아에프티,123410
코리아오토글라스,152330
코리안리,003690
코맥스,036690
코메론,049430
코미코,183300
코미팜,041960
코세스,089890
코센,009730
코셋,189350
코스맥스,192820
코스맥스비티아이,044820
코스메카코리아,241710
코스모신소재,005070
코스모화학,005420
코스온,069110
코아스,071950
코아스템,166480
코아시아홀딩스,045970
코엔텍,029960
코오롱,002020
코오롱글로벌,003070
코오롱글로벌우,003075
코오롱머티리얼,144620
코오롱생명과학,102940
코오롱우,002025
코오롱인더,120110
코오롱인더우,120115
코오롱티슈진(Reg.S),950160
코오롱플라스틱,138490
코웨이,021240
코웰패션,033290
코위버,056360
코이즈,121850
코콤,015710
코텍,052330
코프라,126600
콜마비앤에이치,200130
콤텍시스템,031820
쿠첸,225650
쿠쿠홀딩스,192400
쿠쿠홈시스,284740
큐렉소,060280
큐로,015590
큐로컴,040350
큐로홀딩스,051780
큐리언트,115180
큐브엔터,182360
큐에스아이,066310
큐엠씨,136660
큐캐피탈,016600
크라운제과,264900
크라운제과우,26490K
크라운해태홀딩스,005740
크라운해태홀딩스우,005745
크로넥스,215570
크로바하이텍,043590
크루셜텍,114120
크리스에프앤씨,110790
크리스탈,083790
크리스탈신소재,900250
크린앤사이언스,045520
클래시스,214150
클리오,237880
키다리스튜디오,020120
키움증권,039490
키위미디어그룹,012170
키이스트,054780
타이거일렉,219130
탑선,180060
탑엔지니어링,065130
태경산업,015890
태경화학,006890
태광,023160
태광산업,003240
태림포장,011280
태양,053620
태양금속,004100
태양금속우,004105
태양기계,116100
태영건설,009410
태영건설우,009415
태웅,044490
태원물산,001420
태평양물산,007980
테고사이언스,191420
테라셈,182690
테라젠이텍스,066700
테스,095610
테스나,131970
테이팩스,055490
테크윙,089030
테크트랜스,258050
텔레칩스,054450
텔레필드,091440
텔루스,196450
텔코웨어,078000
텔콘RF제약,200230
토니모리,214420
토박스코리아,215480
토비스,051360
토탈소프트,045340
토필드,057880
톱텍,108230
투비소프트,079970
툴젠,199800
트러스제7호,140890
트루윈,105550
특수건설,026150
티비씨,033830
티씨엠생명과학,228180
티씨케이,064760
티에스아이,277880
티에스이,131290
티에스인베스트먼트,246690
티에이치엔,019180
티엘아이,062860
티웨이항공,091810
티웨이홀딩스,004870
티케이씨,191600
티케이케미칼,104480
티플랙스,081150
티피씨글로벌,130740
틸론,217880
팅크웨어,084730
파나진,046210
파라다이스,034230
파라텍,033540
파루,043200
파마리서치바이오,217950
파마리서치프로덕트,214450
파미셀,005690
파버나인,177830
파세코,037070
파수닷컴,150900
파워넷,037030
파워로직스,047310
파워풀엑스,266870
파이오링크,170790
파인디앤씨,049120
파인디지털,038950
파인이엠텍,278990
파인테크닉스,106240
파인텍,131760
파크시스템스,140860
파트론,091700
파티게임즈,194510
팍스넷,038160
판도라티비,202960
판타지오,032800
팜스웰바이오,043090
팜스코,036580
팜스토리,027710
패션플랫폼,225590
팬스타엔터프라이즈,054300
팬엔터테인먼트,068050
팬오션,028670
팬젠,222110
퍼스텍,010820
퍼시스,016800
퍼시픽바이오,060900
펄어비스,263750
페이퍼코리아,001020
펩트론,087010
평화산업,090080
평화정공,043370
평화홀딩스,010770
포메탈,119500
포비스티앤씨,016670
포스링크,056730
포스코 ICT,022100
포스코강판,058430
포스코대우,047050
포스코엠텍,009520
포스코켐텍,003670
포시에스,189690
포인트엔지니어링,176560
포티스,141020
폴루스바이오팜,007630
푸드나무,290720
푸드웰,005670
푸른기술,094940
푸른저축은행,007330
풀무원,017810
풍강,093380
풍국주정,023900
풍산,103140
풍산홀딩스,005810
퓨전데이타,195440
퓨쳐스트림네트웍스,214270
퓨쳐켐,220100
프럼파스트,035200
프로스테믹스,203690
프로텍,053610
프리엠스,053160
플랜티넷,075130
플럼라인생명과학,222670
플레이위드,023770
피노텍,150440
피델릭스,032580
피씨디렉트,051380
피씨엘,241820
피앤씨테크,237750
피앤이솔루션,131390
피앤텔,054340
피에스엠씨,024850
피에스케이,031980
피에스텍,002230
피엔아이컴퍼니,242350
피엔에이치테크,239890
피엔티,137400
피엠지파마,073570
피제이메탈,128660
피제이전자,006140
픽셀플러스,087600
필룩스,033180
필링크,064800
필옵틱스,161580
하나금융10호스팩,270520
하나금융11호스팩,284620
하나금융7호스팩,230240
하나금융9호스팩,261200
하나금융지주,086790
하나니켈1호,099340
하나니켈2호,099350
하나마이크론,067310
하나머티리얼즈,166090
하나제약,293480
하나투어,039130
하림,136480
하림지주,003380
하우동천,233990
하이골드12호,172580
하이골드3호,153360
하이골드8호,159650
하이로닉,149980
하이록코리아,013030
하이비젼시스템,126700
하이셈,200470
하이스틸,071090
하이즈항공,221840
하이텍팜,106190
하이트론,019490
하이트진로,000080
하이트진로2우B,000087
하이트진로홀딩스,000140
하이트진로홀딩스우,000145
하츠,066130
한국4호스팩,240540
한국ANKOR유전,152550
한국가구,004590
한국가스공사,036460
한국경제TV,039340
한국공항,005430
한국금융지주,071050
한국금융지주우,071055
한국기업평가,034950
한국내화,010040
한국단자,025540
한국맥널티,222980
한국비엔씨,226610
한국석유,004090
한국선재,025550
한국쉘석유,002960
한국알콜,017890
한국유니온제약,080720
한국유리,002000
한국유리우,002005
한국자산신탁,123890
한국전력,015760
한국전자금융,063570
한국전자인증,041460
한국전자홀딩스,006200
한국정밀기계,101680
한국정보공학,039740
한국정보인증,053300
한국정보통신,025770
한국제5호스팩,271740
한국제6호스팩,281410
한국제7호스팩,291210
한국제지,002300
한국종합기술,023350
한국주강,025890
한국주철관,000970
한국철강,104700
한국카본,017960
한국캐피탈,023760
한국컴퓨터,054040
한국코퍼레이션,050540
한국콜마,161890
한국콜마홀딩스,024720
한국큐빅,021650
한국타이어,161390
한국타이어월드와이드,000240
한국테크놀로지,053590
한국토지신탁,034830
한국특수형강,007280
한국패러랠,168490
한국팩키지,037230
한국프랜지,010100
한국항공우주,047810
한국화장품,123690
한국화장품제조,003350
한글과컴퓨터,030520
한네트,052600
한농화성,011500
한독,002390
한라,014790
한라IMS,092460
한라홀딩스,060980
한미글로벌,053690
한미반도체,042700
한미사이언스,008930
한미약품,128940
한빛소프트,047080
한샘,009240
한섬,020000
한성기업,003680
한세실업,105630
한세엠케이,069640
한세예스24홀딩스,016450
한솔PNS,010420
한솔로지스틱스,009180
한솔시큐어,070300
한솔씨앤피,221610
한솔인티큐브,070590
한솔제지,213500
한솔케미칼,014680
한솔테크닉스,004710
한솔홀딩스,004150
한솔홈데코,025750
한송네오텍,226440
한스바이오메드,042520
한신공영,004960
한신기계,011700
한양디지텍,078350
한양이엔지,045100
한양증권,001750
한양증권우,001755
한온시스템,018880
한올바이오파마,009420
한익스프레스,014130
한일네트웍스,046110
한일단조,024740
한일사료,005860
한일시멘트,300720
한일진공,123840
한일철강,002220
한일현대시멘트,006390
한일홀딩스,003300
한일화학,007770
한전KPS,051600
한전기술,052690
한전산업,130660
한중엔시에스,107640
한진,002320
한진중공업,097230
한진중공업홀딩스,003480
한진칼,180640
한진칼우,18064K
한창,005110
한창산업,079170
한창제지,009460
한컴MDS,086960
한컴시큐어,054920
한컴유니맥스,215090
한컴지엠디,077280
한탑,002680
한프,066110
한화,000880
한화3우B,00088K
한화갤러리아타임월드,027390
한화생명,088350
한화손해보험,000370
한화수성스팩,265920
한화에어로스페이스,012450
한화에이스스팩3호,264290
한화에이스스팩4호,279410
한화우,000885
한화케미칼,009830
한화케미칼우,009835
한화투자증권,003530
한화투자증권우,003535
해덕파워웨이,102210
해마로푸드서비스,220630
해성디에스,195870
해성산업,034810
해성옵틱스,076610
해태제과식품,101530
핸디소프트,220180
핸즈코퍼레이션,143210
행남사,008800
헝셩그룹,900270
현대건설,000720
현대건설기계,267270
현대건설우,000725
현대공업,170030
현대그린푸드,005440
현대글로비스,086280
현대로템,064350
현대리바트,079430
현대모비스,012330
현대미포조선,010620
현대바이오,048410
현대백화점,069960
현대비앤지스틸,004560
현대비앤지스틸우,004565
현대사료,016790
현대상사,011760
현대상선,011200
현대약품,004310
현대에이치씨엔,126560
현대엘리베이,017800
현대위아,011210
현대일렉트릭,267260
현대정보기술,026180
현대제철,004020
현대중공업,009540
현대중공업지주,267250
현대차,005380
현대차2우B,005387
현대차3우B,005389
현대차우,005385
현대차증권,001500
현대코퍼레이션홀딩스,227840
현대통신,039010
현대해상,001450
현대홈쇼핑,057050
현성바이탈,204990
현우산업,092300
현진소재,053660
형지I&C,011080
형지엘리트,093240
혜인,003010
호전실업,111110
호텔신라,008770
호텔신라우,008775
홈센타홀딩스,060560
홈캐스트,064240
화성밸브,039610
화성산업,002460
화승알앤에이,013520
화승엔터프라이즈,241590
화승인더,006060
화신,010690
화신정공,126640
화신테크,086250
화이브라더스코리아,204630
화인베스틸,133820
화일약품,061250
화진,134780
화천기계,010660
화천기공,000850
환인제약,016580
황금에스티,032560
효성,004800
효성ITX,094280
효성오앤비,097870
효성중공업,298040
효성첨단소재,298050
효성티앤씨,298020
효성화학,298000
후성,093370
휘닉스소재,050090
휠라코리아,081660
휴네시온,290270
신세계푸드,031440